,,Resources Required (0 = none; 5 = hard and expensive),Positive Impact on Security (0 = negligible but good practice; 5 = dramatic improvement)
Organization will communicate and exchange information safely,"channels: Video, email, voice, text(sync), text(async), filetransfer, collaboration space, forum",,
,Data is secure from unauthorized use from end to end.,,
,Communication metadata is safeguarded/protected,,
,,,
,,,
,,,
1,Email (ssl and/or pgp),3,4
2,Real-time text Ð IM (Pidgin /OTR),3,4
3,Offline text -sms/ surespot,1,4
4,Voice ( Jitsi),2,4
5,Video (meet.jit.si),2,4
6,"File transfer (Kleopatra, Minilock, OTR, PGP)",2,4
7,Collaboration (,1,4
8,Forum,,
9,Physical modes: USBs,,
10,,,
,,,
File Access and Sharing is Controlled,"channels: Internal FileServer, org-vpn, Cloud Hosting, External Drives/USB, intranet",,
,"Only authorized access, stored in encrypted form, privileges up-to-date,",,
,,,
,,,
,,,
,,,
,,,
1,Data is categorized based on its level of sensitivity and who needs access,3,4
2,"Define access roles for data: administrator/supervisor access, editor, viewer, etc.",3,4
3,Administrator/Supervisor roles will create Truecrypt volumes that,3,3
4,Passwords are stored in Keepass to unlock Truecrypt volumes,2,3
5,Editors will require permission from administrator/supervisor to make changes,2,3
6,Administrator/Supervisor roles will ensure document is up to date in Truecrypt volume,2,4
,,,
Organization stablish procedures for securely collecting information,,,
1,Communicate to partners what data is being collecting and how that data will be used to the people it is collecting data from,3,3
2,Delegate responsibility to destroy the information when it is no longer useful and to manage the information until it is destroyed or anonymised,3,4
3,Only collect information you need,2,4
4,"Always make data collection opt-in, not opt-out",2,3
5,"Explain how you will manage the data internally (when will it be used, encrypted, deleted, wiped)",2,3
6,Encrypt the information,3,3
7,Back-up the information,3,3
8,Properly destroy the information when it is deleted using wiping software,3,3
,,,
Staff and Organizational Data Is Backed Up and Stored in another Safe Location,,,
1,Map information that is stored on staff laptops and mobiles that is not saved on the organization's computers,2,3
2,Set up a plan to back up data on desktops to an external harddrive that is stored in a safe location outside of the office,2,3
3,Go three months setting weekly backups of desktops,2,4
4,"Try and recover data from the most recent backup to make sure it is possible (if it is not, go back to step 3)",3,4
5,Encrypt copies of backups,3,4
,,,
Staff and Organizational Data Is Deleted Securely,,,
1,Provide staff with secure file deletion software and training to wipe blank space (where items that have been deleted are still living) from their hard drives,3,4
2,Providing training for staff so they know how to erase their data,3,3
3,Remind staff once a week that they need to expunge any unneeded data,1,4
4,"Wiping computer hard drives once a week (including web history, Skype history, chat logs, and all free space on the computer)",1,4
5,Carefully consider expiration dates for data when projects begin collecting data and information that is or could be sensitive,3,3
